COUNTRY,ISO3,DATE_UPDATED,TOTAL_VACCINATIONS
Bhutan,BTN,2022-10-30,2011426.0
Namibia,NAM,2023-11-12,1005937.0
Iran (Islamic Republic of),IRN,2023-11-26,1.55461757E8
Kenya,KEN,2023-04-02,2.3750431E7
Comoros,COM,2022-10-02,835021.0
Mozambique,MOZ,2023-07-02,3.4950858E7
Viet Nam,VNM,2023-06-30,2.66492149E8
India,IND,2023-11-23,2.208365081E9
Bulgaria,BGR,2023-09-24,4618931.0
Malaysia,MYS,2023-10-26,7.2653181E7
Venezuela (Bolivarian Republic of),VEN,2023-06-02,3.7860994E7
Bahamas,BHS,2023-06-02,366359.0
Georgia,GEO,2023-05-28,2739270.0
Somalia,SOM,2023-07-25,1.0555834E7
Maldives,MDV,2023-05-25,951764.0
Ecuador,ECU,2023-03-24,3.9564195E7
Kyrgyzstan,KGZ,2023-06-18,3167393.0
Tuvalu,TUV,2023-02-01,26783.0
United Arab Emirates,ARE,2022-07-06,2.4922054E7
Burkina Faso,BFA,2023-07-23,7893609.0
Sweden,SWE,2023-10-01,2.3237123E7
Rwanda,RWA,2023-06-04,2.7322059E7
Malawi,MWI,2023-09-24,8503954.0
Haiti,HTI,2023-06-16,669130.0
Luxembourg,LUX,2023-10-01,1337942.0
South Africa,ZAF,2023-09-24,4.1798812E7
Norway,NOR,2023-09-03,1.2335349E7
Nauru,NRU,2023-02-20,32157.0
Finland,FIN,2023-10-01,1.3265058E7
North Macedonia,MKD,2023-05-07,1862987.0
Benin,BEN,2022-12-18,4232541.0
Honduras,HND,2023-08-11,1.7074861E7
Suriname,SUR,2023-06-02,554588.0
Saint Kitts and Nevis,KNA,2023-06-02,64297.0
Democratic Republic of the Congo,COD,2023-06-04,1.8808671E7
Denmark,DNK,2023-10-01,1.5116672E7
Pakistan,PAK,2023-11-14,3.40974144E8
Anguilla,AIA,2023-10-20,24864.0
Grenada,GRD,2023-06-02,90686.0
Sri Lanka,LKA,2022-10-30,4.011659E7
Sierra Leone,SLE,2023-07-30,9155936.0
Vanuatu,VUT,2023-02-20,355430.0
Liberia,LBR,2022-12-11,4460668.0
Antigua and Barbuda,ATG,2023-06-02,136512.0
Australia,AUS,2023-10-05,6.8770769E7
Singapore,SGP,2023-08-29,1.530253E7
Botswana,BWA,2023-05-07,3171667.0
Portugal,PRT,2023-10-01,2.7879893E7
Myanmar,MMR,2023-08-21,9.3477104E7
Senegal,SEN,2023-11-12,3179647.0
Dominica,DMA,2023-06-02,67647.0
New Caledonia,NCL,2023-04-03,480497.0
Nicaragua,NIC,2023-08-11,1.5507763E7
Indonesia,IDN,2023-11-23,4.4819986E8
French Polynesia,PYF,2023-07-17,493692.0
Iceland,ISL,2023-04-16,869976.0
Jamaica,JAM,2023-10-06,1528445.0
Turkmenistan,TKM,2023-08-06,1.677597E7
Tokelau,TKL,2022-12-05,6342.0
San Marino,SMR,2022-05-22,69338.0
Kiribati,KIR,2023-02-06,219980.0
Poland,POL,2023-10-01,5.824057E7
Lithuania,LTU,2023-10-01,4532726.0
Lesotho,LSO,2023-03-19,1339097.0
China,CHN,2023-04-20,3.516880717E9
Bolivia (Plurinational State of),BOL,2023-08-25,1.610454E7
Latvia,LVA,2023-08-13,2979624.0
Seychelles,SYC,2023-04-09,224558.0
Monaco,MCO,2022-12-04,71027.0
Albania,ALB,2023-09-10,3088966.0
Chile,CHL,2023-11-17,6.6860038E7
Kuwait,KWT,2023-11-26,8261221.0
